ANNEE,CODE DU POINT DE VENTE,Code IDH,RAISON SOCIALE,CODE POSTAL,VILLE,CODE Chef de secteur,RAYON,NATURE,TYPE ACCORD,"STATUT
ACCORD",MODALITÉS,PAIEMENT,PÉRIODE,"BUDGET
ACCORD
HT €"
2023,20pbc,1719419,LEROY MERLIN - 174,49300,CHOLET,460,Peinture,Permanent,Pack Visibilité GSB,Signé,Valeur Fixe,PP,,"  1 000,00 € "
2022,20pbc,1719419,LEROY MERLIN - 174,49300,CHOLET,460,Peinture,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  2 000,00 € "
2022,20pbc,1719419,LEROY MERLIN - 174,49300,CHOLET,460,Peinture,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  2 000,00 € "
2022,20pbc,1719419,LEROY MERLIN - 174,49300,CHOLET,460,Peinture,Permanent,CROSS MKT MASTIC SANITAIRE SDB,,,,,"  250,00 € "
2022,20pbc,1719419,LEROY MERLIN - 174,49300,CHOLET,460,Peinture,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  1 000,00 € "
2023,20ps7,488771,LEROY MERLIN - 133,63100,CLERMONT FERRAND,350,Peinture,Permanent,Pack Visibilité GSB,Signé,Valeur Fixe,PP,,"  3 100,00 € "
2022,20ps7,488771,LEROY MERLIN - 133,63100,CLERMONT FERRAND,350,Peinture,Permanent,TG CAISSE FIXATION & COLLES,,,,,"  2 000,00 € "
2022,20ps7,488771,LEROY MERLIN - 133,63100,CLERMONT FERRAND,350,Peinture,Permanent,TG CAISSE COLLES,,,,,"  1 100,00 € "
2023,20r4m,436317,LEROY MERLIN - 116,77090,COLLEGIEN,283,Peinture,Permanent,TG/Podium,Signé,Valeur Fixe,PP,,"  3 800,00 € "
2023,20r4m,436317,LEROY MERLIN - 116,77090,COLLEGIEN,283,Peinture,Permanent,TG/Podium,Signé,Valeur Fixe,PP,,"  2 500,00 € "
2023,20r4m,436317,LEROY MERLIN - 116,77090,COLLEGIEN,283,Peinture,Permanent,TG/Podium,Signé,Valeur Fixe,PP,,"  5 000,00 € "
2023,20r4m,436317,LEROY MERLIN - 116,77090,COLLEGIEN,283,Peinture,Permanent,TG/Podium,Signé,Valeur Fixe,PP,,"  2 500,00 € "
2023,20r4m,436317,LEROY MERLIN - 116,77090,COLLEGIEN,283,Peinture,Permanent,TG/Podium,Signé,Valeur Fixe,PP,,"  2 500,00 € "
2023,20r4m,436317,LEROY MERLIN - 116,77090,COLLEGIEN,283,Peinture,Promo,,Signé,Valeur Fixe,PP,,"  2 000,00 € "
2022,20r4m,436317,LEROY MERLIN - 116,77090,COLLEGIEN,283,Peinture,Permanent,TG ISOL & ETANCH,,,,,"  800,00 € "
2022,20r4m,436317,LEROY MERLIN - 116,77090,COLLEGIEN,283,Peinture,Permanent,TG COLLES,,,,,"  3 000,00 € "
2022,20r4m,436317,LEROY MERLIN - 116,77090,COLLEGIEN,283,Peinture,Permanent,TG COLLES,,,,,"  2 500,00 € "
2022,20r4m,436317,LEROY MERLIN - 116,77090,COLLEGIEN,283,Peinture,Permanent,TG COLLES,,,,,"  2 500,00 € "
2022,20r4m,436317,LEROY MERLIN - 116,77090,COLLEGIEN,283,Peinture,Permanent,TG COLLES,,,,,"  2 500,00 € "
